Rnd.,Pick,Player,Pos.,Nationality,Team,School
1,1,Deandre Ayton,C,Bahamas,Phoenix Suns,Arizona (Fr.)
1,2,Marvin Bagley III,PF,United States,Sacramento Kings,Duke (Fr.)
1,3,Luka Dončić,PG,Slovenia,Atlanta Hawks (traded to Dallas)[a],Real Madrid (Spain)
1,4,Jaren Jackson Jr.,PF,United States,Memphis Grizzlies,Michigan State (Fr.)
1,5,Trae Young,PG,United States,Dallas Mavericks (traded to Atlanta)[a],Oklahoma (Fr.)
1,6,Mo Bamba,C,United States,Orlando Magic,Texas (Fr.)
1,7,Wendell Carter Jr.,C,United States,Chicago Bulls,Duke (Fr.)
1,8,Collin Sexton,SG/PG,United States,Cleveland Cavaliers (from Brooklyn via Boston)[A],Alabama (Fr.)
1,9,Kevin Knox,SF,United States,New York Knicks,Kentucky (Fr.)
1,10,Mikal Bridges,SF,United States,Philadelphia 76ers (from L.A. Lakers via Phoenix;[B] traded to Phoenix[b]),Villanova (Jr.)
1,11,Shai Gilgeous-Alexander,SG/PG,Canada,Charlotte Hornets (traded to the L.A. Clippers)[c],Kentucky (Fr.)
1,12,Miles Bridges,SF,United States,"Los Angeles Clippers (from Detroit,[C] traded to Charlotte)[c]",Michigan State (So.)
1,13,Jerome Robinson,SG,United States,Los Angeles Clippers,Boston College (Jr.)
1,14,Michael Porter Jr.,SF,United States,Denver Nuggets,Missouri (Fr.)
1,15,Troy Brown Jr.,SF,United States,Washington Wizards,Oregon (Fr.)
1,16,Zhaire Smith,SG,United States,Phoenix Suns (from Miami;[D] traded to Philadelphia[b]),Texas Tech (Fr.)
1,17,Donte DiVincenzo,SG,United States,Milwaukee Bucks,Villanova (So.)
1,18,Lonnie Walker IV,SG,United States,San Antonio Spurs,Miami (Fr.)
1,19,Kevin Huerter,SG,United States,Atlanta Hawks (from Minnesota)[E],Maryland (So.)
1,20,Josh Okogie,SG,United States Nigeria[n 2],Minnesota Timberwolves (from Oklahoma City via Utah)[F],Georgia Tech (So.)
1,21,Grayson Allen,SG,United States,Utah Jazz,Duke (Sr.)
1,22,Chandler Hutchison,SF/SG,United States,Chicago Bulls (from New Orleans)[G],Boise State (Sr.)
1,23,Aaron Holiday,PG,United States,Indiana Pacers,UCLA (Jr.)
1,24,Anfernee Simons,SG,United States,Portland Trail Blazers,"IMG Academy (Bradenton, Florida; HSPg.)"
1,25,Moritz Wagner,PF,Germany,Los Angeles Lakers (from Cleveland via Portland and Cleveland)[H],Michigan (Jr.)
1,26,Landry Shamet,SG,United States,Philadelphia 76ers,Wichita State (So.)
1,27,Robert Williams III,PF/C,United States,Boston Celtics,Texas A&M (So.)
1,28,Jacob Evans,SG,United States,Golden State Warriors,Cincinnati (Jr.)
1,29,Džanan Musa,SF,Bosnia and Herzegovina,Brooklyn Nets (from Toronto)[I],Cedevita Zagreb (Croatia)
1,30,Omari Spellman,PF,United States,Atlanta Hawks (from Houston via L.A. Clippers)[J],Villanova (Fr.)
2,31,Élie Okobo,PG,France,Phoenix Suns,Pau-Lacq-Orthez (France)
2,32,Jevon Carter,PG,United States,Memphis Grizzlies,West Virginia (Sr.)
2,33,Jalen Brunson,PG,United States,Dallas Mavericks,Villanova (Jr.)
2,34,Devonte' Graham,PG,United States,Atlanta Hawks  (traded to Charlotte)[d],Kansas (Sr.)
2,35,Melvin Frazier,SF,United States,Orlando Magic,Tulane (Jr.)
2,36,Mitchell Robinson,C,United States,New York Knicks (from Chicago via Oklahoma City)[K],"Chalmette HS (Chalmette, Louisiana; HS Sr.)[n 3]"
2,37,Gary Trent Jr.,SG,United States,Sacramento Kings (traded to Portland)[e],Duke (Fr.)
2,38,Khyri Thomas,SG,United States,"Philadelphia 76ers (from Brooklyn,[L] traded to Detroit)[f]",Creighton (Jr.)
2,39,Isaac Bonga,SF,Germany,"Philadelphia 76ers (from New York[M], traded to the L.A. Lakers)[N]",Frankfurt Skyliners (Germany)
2,40,Rodions Kurucs,SF,Latvia,Brooklyn Nets (from L.A. Lakers via Orlando and Toronto)[O][I],FC Barcelona Lassa (Spain)
2,41,Jarred Vanderbilt,SF,United States,"Orlando Magic (from Charlotte via Memphis and Phoenix,[P][Q] traded to Denver)[g]",Kentucky (Fr.)
